PMID,country
30916381,Canada
30916381,Germany
30916381,United States
18373710,United States
22540141,Netherlands
22582760,United States
17635208,Sweden
19220390,United States
20052455,United Kingdom
21455728,United Kingdom
30145664,Spain
30145664,Netherlands
37782353,Belgium
37782353,United States
37870503,France
37870503,Germany
37870503,Italy
37870503,Switzerland
37870503,United Kingdom
21604824,United States
37231816,China
37231816,Germany
37231816,Netherlands
10878776,India
23588935,United States
28369940,United States
28369940,Germany
28369940,Italy
24444271,Turkey
1308375,South Africa
30387458,Nepal
15185208,United States
9566175,United States
29479695,United States
29694963,United States
24116893,United States
25565222,Spain
7554393,United Kingdom
32652542,Sweden
17525699,Finland
18437501,United Kingdom
23568674,United Kingdom
37184684,United States
18391850,United States
26959482,United States
34645954,United States
36859442,United States
27372902,United States
35815177,United States
28878089,Denmark
28878089,France
28878089,South Africa
28878089,Switzerland
28878089,United States
28878089,United Kingdom
25410451,Brazil
23982340,France
24247559,Turkey
18837602,United States
19485597,United States
23875821,United States
30714749,United States
20938161,South Africa
32050198,Switzerland
7588490,United States
36029836,Guatemala
36029836,India
36029836,United Kingdom
36029836,United States
11457750,United States
37956127,Japan
387534+1514:153552,Austria
387534+1514:153552,Belgium
387534+1514:153552,Finland
387534+1514:153552,Germany
387534+1514:153552,Greece
387534+1514:153552,India
387534+1514:153552,Israel
387534+1514:153552,Italy
387534+1514:153552,Japan
387534+1514:153552,Norway
387534+1514:153552,Portugal
387534+1514:153552,Slovakia
387534+1514:153552,Switzerland
387534+1514:153552,United Kingdom
19597054,United States
23864006,United States
24345402,United States
26408274,United States
26762525,New Zealand
29459465,Canada
36282755,Netherlands
12365740,United States
15050483,Netherlands
24792735,United States
28822563,United States
28822563,Taiwan
30037426,Argentina
30037426,United States
30037426,Germany
30037426,Missouri
30037426,Pennsylvania
30037426,Poland
30037426,Netherlands
30037426,United Kingdom
35644694,United States
39032588,Austria
39032588,Germany
39032588,Greece
39032588,New Jersey
39032588,United States
39032588,Spain
39032588,Netherlands
39032588,United Kingdom
33448029,Botswana
33448029,South Africa
33448029,United Kingdom
33448029,United States
36635078,Ireland
36635078,South Africa
36635078,Netherlands
36635078,United Kingdom
10862807,United States
3285899,United States
16038685,United States
22297150,United States
30583852,United States
30583852,Missouri
12679400,Germany
1899112,South Africa
1899447,United States
8326381,United States
16455628,Italy
15347710,Japan
18483104,United States
18927328,Germany
27789716,Sweden
27789716,and
29175983,Netherlands
29175983,and
29419478,France
29419478,and
31601700,United States
31601700,and
20851180,Netherlands
2084647,United Kingdom
25601350,Germany
30621529,United States
30621529,Austria
30621529,France
30621529,Germany
30621529,Switzerland
30621529,United Kingdom
30621529,Netherlands
19590055,United States
20724711,United States
24743442,United States
27165955,United Kingdom
28119433,Dominican Republic
29241652,Netherlands
29241652,United States
27306315,Netherlands
20599192,United Kingdom
24534452,China
24534452,Japan
24534452,South Korea
37648637,Canada
37648637,Italy
37648637,Poland
37648637,United States
1721358,United States
8769173,United States
11737438,United States
11596587,United States
20860504,France
22077144,United States
24106935,Australia
23789889,United States
25992505,Canada
27295427,United States
30304652,United States
29781385,United States
30146935,United States
31532959,CW)
31141632,United States
37672694,Oklahoma City
39330966,Nairobi - all in Kenya
2186273,Fla
1674589,Md
1711156,United States
1406817,United States
8196726,United States
7651474,United States
9227926,Canada
9614257,United States
9869669,United States
9971865,Netherlands
10053176,Finland
18184959,United States
19571281,Denmark
20147715,United States
12397188,United States
12421890,United States
14602878,Italy
15590953,Turkey
17021320,United States
17611204,Netherlands
25479969,Australia
7965833,Australia
7473238,Denmark
12042366,Canada K7L 3N6
11179411,Sweden
12897182,Denmark
15131238,Italy
15774531,Denmark
15790665,United States
16020461,Denmark
16513672,United States
19805747,United States
23753523,Denmark
22840666,United States
35229141,Japan
35229141,South Korea
35229141,Taiwan
35229141,United Kingdom
35229141,United States
8383943,Charleston
1444287,United States
8109939,United States
9124858,France
10049291,Vietnam
10543774,Thailand
9835499,United States
11751144,United Kingdom
10681341,Switzerland
12019083,United States
12019123,United States
20498326,United Kingdom
21896911,United States
17261626,United States
21282434,Australia
30150465,Malawi
30150465,Thailand
30150465,United Kingdom
30670421,South Africa
32122887,South Africa
32122887,Sweden
27821451,United States
23357764,United States
25421470,United States
25421470,United Kingdom
22314532,Argentina
22155817,United States
22564837,Greece
22526314,United States
15855501,Singapore
19643125,United States
20478333,United States
22425936,United States
8127017,Robert Wood Johnson Medical School at Camden
2770103,Italy
16374438,South Korea
26880462,Australia
26880462,Belgium
